>PDB:1EVY_A mol:protein length:366     Glycerol-3-Phosphate Dehydrogenase
>PDB:1G7E_A mol:protein length:122     Endoplasmic Reticulum Protein Erp29
>PDB:1G7K_A mol:protein-het length:234     Fluorescent Protein Fp583
>PDB:1G7O_A mol:protein length:215     Glutaredoxin 2
>PDB:1G7R_A mol:protein-het length:594     Translation Initiation Factor If2/Eif5B
>PDB:1G8E_A mol:protein length:116     Flagellar Transcriptional Activator Flhd
>PDB:1G8J_A mol:protein length:825     Arsenite Oxidase
>PDB:1G8J_B mol:protein length:133     Arsenite Oxidase
>PDB:1G8P_A mol:protein length:350     Magnesium-Chelatase 38 Kda Subunit
>PDB:1G8Q_A mol:protein length:90     Cd81 Antigen, Extracellular Domain
>PDB:1G8T_A mol:protein length:245     Nuclease Sm2 Isoform
>PDB:1G8X_A mol:protein length:1010     Myosin II Heavy Chain Fused To Alpha-Actini
>PDB:1G8Y_A mol:protein length:279     Regulatory Protein Repa
>PDB:1G86_A mol:protein length:142     Charcot-Leyden Crystal Protein
>PDB:1G85_A mol:protein length:159     Odorant-Binding Protein
>PDB:1G87_A mol:protein length:614     Endocellulase 9G
>PDB:1G9T_A mol:protein length:182     Hypoxanthine Phosphoribosyltransferase
>PDB:1G90_A mol:protein length:176     Outer Membrane Protein A
>PDB:1G91_A mol:protein length:77     Myeloid Progenitor Inhibitory Factor-1
>PDB:1G99_A mol:protein length:408     Acetate Kinase
>PDB:1G9L_A mol:protein length:144     Polyadenylate-Binding Protein 1
>PDB:1G9M_G mol:protein length:321     Envelope Glycoprotein Gp120
>PDB:1G9O_A mol:protein length:91     Nhe-Rf
>PDB:1G9P_A mol:protein length:45     Omega-Atracotoxin-Hv2A
>PDB:1G9R_A mol:protein-het length:311     Glycosyl Transferase
>PDB:1G9U_A mol:protein length:454     Outer Protein Yopm
>PDB:1G92_A mol:protein length:25     Poneratoxin
>PDB:1GA0_A mol:protein length:364     Beta-Lactamase
>PDB:1GA4_A mol:protein length:372     Serine-Carboxyl Proteinase
>PDB:1GA3_A mol:protein length:113     Interleukin-13
>PDB:1GAB_  mol:protein length:53     Protein Pab
>PDB:1GAI_  mol:protein length:472     Glucoamylase-471
>PDB:1GAK_A mol:protein length:141     Fertilization Protein
>PDB:1GAX_A mol:protein length:862     Valyl-tRNA Synthetase
>PDB:2GAT_A mol:protein length:66     Gata-1
>PDB:9GAA_A mol:protein length:295     Glycosylasparaginase
>PDB:2GBP_  mol:protein length:309     D-GalactoseD-GLUCOSE BINDING PROTEIN (GGBP)
>PDB:1GC5_A mol:protein length:467     ADP-Dependent Glucokinase
>PDB:1GCZ_A mol:protein length:122     Macrophage Migration Inhibitory Factor
>PDB:1GCY_A mol:protein length:527     Glucan 1,4-Alpha-Maltotetrahydrolase
>PDB:2GCC_  mol:protein length:70     Aterf1
>PDB:1GCW_A mol:protein length:140     Hemoglobin
>PDB:1GCU_A mol:protein length:295     Biliverdin Reductase A
>PDB:1GCV_B mol:protein length:136     Hemoglobin
>PDB:1GD2_E mol:protein length:70     Transcription Factor Pap1
>PDB:1GD9_A mol:protein length:389     Aspartate Aminotransferase
>PDB:1GDH_A mol:protein length:320     D-Glycerate Dehydrogenase (Apo Form) (E.C. 1
>PDB:1GDT_A mol:protein length:183     Gamma-Delta Resolvase
>PDB:5GDS_I mol:protein-het length:26     Hirunorm V
>PDB:1GD7_A mol:protein length:109     Csaa Protein
>PDB:1GE8_A mol:protein length:249     Proliferation Cell Nuclear Antigen
>PDB:1GEA_A mol:protein-het length:21     Pituitary Adenylate Cyclase Activating Po
>PDB:1GEF_A mol:protein length:123     Holliday Junction Resolvase
>PDB:1GEG_A mol:protein length:256     Acetoin Reductase
>PDB:1GEH_A mol:protein length:444     Ribulose-1,5-Bisphosphate Carboxylase/Oxygen
>PDB:1GFF_1 mol:protein length:426     Bacteriophage G4 Capsid Proteins Gpf, Gpg, G
>PDB:1GFF_2 mol:protein length:177     Bacteriophage G4 Capsid Proteins Gpf, Gpg, G
>PDB:1GG3_A mol:protein length:279     Erythroid Membrane Protein 4.1R
>PDB:1GG4_A mol:protein-het length:452     Udp-N-Acetylmuramoylalanyl-D-Glutamyl-2,
>PDB:1GGG_A mol:protein length:226     Glutamine Binding Protein
>PDB:1GGQ_A mol:protein length:174     Outer Surface Protein C
>PDB:1GGW_A mol:protein length:140     Cdc4P
>PDB:1GGP_A mol:protein length:234     Lectin 1 A Chain
>PDB:1GH2_A mol:protein length:107     Thioredoxin-Like Protein
>PDB:1GH6_A mol:protein length:114     Large T Antigen
>PDB:1GH7_A mol:protein length:419     Cytokine Receptor Common Beta Chain
>PDB:1GH8_A mol:protein length:89     Translation Elongation Factor 1Beta
>PDB:1GH9_A mol:protein length:71     8.3 Kda Protein (Gene Mth1184)
>PDB:1GHC_  mol:protein length:75     Gh1 (Histone H1, Variant 11L, Globular Domain
>PDB:1GHH_A mol:protein length:81     DNA-Damage-Inducible Protein I
>PDB:1GHQ_A mol:protein length:308     Complement C3
>PDB:1GHQ_B mol:protein length:134     Cr2/Cd121/C3D/Epstein-Barr Virus Receptor
>PDB:1GHE_A mol:protein-het length:177     Acetyltransferase
>PDB:1GIB_  mol:protein-het length:23     Mu-Conotoxin Giiib
>PDB:1GIX_S mol:protein length:91     30S Ribosomal Protein S16
>PDB:1GIY_E mol:protein length:338     50S Ribosomal Protein L3
>PDB:1GIQ_A mol:protein length:413     Iota Toxin Component Ia
>PDB:1GJE_A mol:protein-het length:16     Protein: Igfbp-1 Antagonist
>PDB:1GJS_A mol:protein length:65     Immunoglobulin G Binding Protein G
>PDB:1GJU_A mol:protein length:637     Maltodextrin Glycosyltransferase
>PDB:1GJV_A mol:protein length:388     [3-Methyl-2-Oxobutanoate Dehydrogenase [Lipo
>PDB:1GJX_A mol:protein length:81     Pyruvate Dehydrogenase
>PDB:1GJJ_A mol:protein length:168     Lap2
>PDB:1GK4_A mol:protein length:84     Vimentin
>PDB:1GK7_A mol:protein length:39     Vimentin
>PDB:1GKK_A mol:protein-het length:297     Endo-1,4-Beta-Xylanase Y
>PDB:1GKS_  mol:protein length:78     Cytochrome C551
>PDB:1GKU_B mol:protein length:1054     Reverse Gyrase
>PDB:1GKR_A mol:protein-het length:458     Non-ATP Dependent L-Selective Hydantoina
>PDB:1GKA_B mol:protein length:174     Crustacyanin A2 Subunit
>PDB:1GL0_I mol:protein length:35     Protease Inhibitor Lcmi I
>PDB:1GL2_A mol:protein length:65     Endobrevin
>PDB:1GL2_B mol:protein length:65     Syntaxin 7
>PDB:1GL2_C mol:protein length:65     Vesicle Transport V-Snare Protein Vti1-Like 1
>PDB:1GL2_D mol:protein length:65     Syntaxin 8
>PDB:1GL4_A mol:protein length:285     Nidogen-1
>PDB:1GL4_B mol:protein length:98     Basement Membrane-Specific Heparan Sulfate Pr
>PDB:1GL5_A mol:protein length:67     Tyrosine-Protein Kinase Tec
>PDB:2GLI_A mol:protein length:160     Zinc Finger Protein Gli1
>PDB:2GLT_  mol:protein length:316     Molecule: Glutathione Biosynthetic Ligase; S
>PDB:1GL1_I mol:protein length:36     Protease Inhibitor Lcmi II
>PDB:1GM0_A mol:protein length:142     Pheromone-Binding Protein
>PDB:1GM5_A mol:protein length:780     Recg
>PDB:1GME_A mol:protein length:151     Heat Shock Protein 16.9B
>PDB:1GMI_A mol:protein length:136     Protein Kinase C, Epsilon Type
>PDB:1GMJ_A mol:protein length:84     Atpase Inhibitor
>PDB:1GMN_A mol:protein length:183     Hepatocyte Growth Factor
>PDB:1GMU_A mol:protein length:143     Uree
>PDB:1GMX_A mol:protein-het length:108     Glpe Protein
>PDB:1GML_A mol:protein length:178     Cct-Gamma
>PDB:1GNZ_A mol:protein length:257     Lectin
>PDB:1GNG_X mol:protein length:39     Frattide
>PDB:1GNX_A mol:protein length:479     Beta-Glucosidase
>PDB:1GO3_E mol:protein length:187     DNA-Directed RNA Polymerase Subunit E
>PDB:1GO3_F mol:protein length:107     DNA-Directed RNA Polymerase Subunit F
>PDB:1GO4_E mol:protein length:100     Mad1 (Mitotic Arrest Deficient)-Like 1
>PDB:1GOE_A mol:protein-het length:42     Corticotropin Releasing Hormone
>PDB:1GOT_G mol:protein length:73     Gt-Gamma
>PDB:1GOU_A mol:protein length:116     Ribonuclease
>PDB:1GO0_A mol:protein length:102     50S Ribosomal Protein L30E
>PDB:1GP1_A mol:protein-het length:198     Glutathione Peroxidase (E.C. 1.11.1.9) -
>PDB:1GP4_A mol:protein-het length:356     Anthocyanidin Synthase
>PDB:1GP8_A mol:protein length:40     Scaffolding Protein
>PDB:1GPC_  mol:protein length:218     Core Gp32
>PDB:1GPE_A mol:protein length:587     Glucose Oxidase
>PDB:1GPH_1 mol:protein length:465     Glutamine Phosphoribosylpyrophosphate (Prpp)
>PDB:1GPJ_A mol:protein length:404     Glutamyl-tRNA Reductase
>PDB:1GPM_A mol:protein length:525     Gmp Synthetase
>PDB:1GPS_  mol:protein length:47     Gamma-1-P Thionin (NMR, 8 Structures) - Chain
>PDB:2GPR_  mol:protein length:154     Glucose-Permease Iia Component
>PDB:1GPZ_A mol:protein length:399     Complement C1R Component
>PDB:1GP7_A mol:protein length:151     Phospholipase A2
>PDB:1GQ8_A mol:protein-het length:319     Pectin Methylesterase
>PDB:1GQE_A mol:protein-het length:365     Release Factor 2
>PDB:1GQP_A mol:protein length:221     Doc1/Apc10
>PDB:1GQW_A mol:protein length:283     Alpha-Ketoglutarate-Dependent Taurine Dioxyg
>PDB:1GQ6_A mol:protein length:313     Proclavaminate Amidino Hydrolase
>PDB:1GQG_A mol:protein length:350     Quercetin 2,3-Dioxygenase
>PDB:1GQJ_A mol:protein length:708     Alpha-D-Glucuronidase
>PDB:1GQT_A mol:protein length:309     Ribokinase
>PDB:1GQA_A mol:protein length:130     Cytochrome C'
>PDB:1GQQ_A mol:protein length:475     Udp-N-Acetylmuramate-L-Alanine Ligase
>PDB:1GQN_A mol:protein length:252     3-Dehydroquinate Dehydratase
>PDB:1GR0_A mol:protein length:367     Myo-Inositol-1-Phosphate Synthase
>PDB:1GRI_A mol:protein length:217     Growth Factor Bound Protein 2
>PDB:1GRJ_  mol:protein length:158     Grea Transcript Cleavage Factor From Escheri
>PDB:1GRL_  mol:protein length:548     Groel (Hsp60 Class)
>PDB:1GRQ_A mol:protein length:178     Chloramphenicol 3-O Phosphotransferase
>PDB:1GRW_A mol:protein length:126     Major Sperm Protein 31/40/142
>PDB:1GS5_A mol:protein length:258     Acetylglutamate Kinase
>PDB:1GSM_A mol:protein length:210     Mucosal Addressin Cell Adhesion Molecule-1
>PDB:1GSO_A mol:protein length:431     Glycinamide Ribonucleotide Synthetase
>PDB:1GSQ_  mol:protein length:202     Glutathione S-Transferase (Gst) (E.C. 2.5.1.
>PDB:2GSA_A mol:protein length:432     Glutamate Semialdehyde Aminotransferase
>PDB:1GSZ_A mol:protein length:631     Squalene--Hopene Cyclase
>PDB:1GT7_A mol:protein length:274     Rhamnulose-1-Phosphate Aldolase
>PDB:1GT8_A mol:protein length:1025     Dihydropyrimidine Dehydrogenase
>PDB:1GTD_A mol:protein-het length:85     Mth169
>PDB:1GTT_A mol:protein length:429     4-Hydroxyphenylacetate Degradation Bifunctio
>PDB:1GU8_A mol:protein length:239     Sensory Rhodopsin II
>PDB:1GUB_A mol:protein length:288     D-Allose-Binding Periplasmic Protein
>PDB:1GU9_A mol:protein-het length:177     Alkylhydroperoxidase D
>PDB:1GUI_A mol:protein length:155     Laminarinase 16A
>PDB:1GV4_A mol:protein length:528     Programed Cell Death Protein 8
>PDB:1GVL_A mol:protein length:223     Kallikrein 6
>PDB:1GVE_A mol:protein length:327     Aflatoxin B1 Aldehyde Reductase
>PDB:1GVI_A mol:protein length:588     Maltogenic Amylase
>PDB:1GVF_A mol:protein length:286     Tagatose-Bisphosphate Aldolase Agay
>PDB:1GVN_A mol:protein length:90     Epsilon
>PDB:1GVN_B mol:protein length:287     Zeta
>PDB:1GVO_A mol:protein length:364     Pentaerythritol Tetranitrate Reductase
>PDB:1GV3_A mol:protein length:248     Manganese Superoxide Dismutase
>PDB:1GWN_A mol:protein length:205     Rho-Related GTP-Binding Protein Rhoe
>PDB:1GW5_A mol:protein-het length:621     Adaptor-Related Protein Complex 2 Alpha
>PDB:1GW5_B mol:protein-het length:591     Adapter-Related Protein Complex 2 Beta 1
>PDB:1GW5_M mol:protein length:435     Clathrin Coat Assembly Protein Ap50
>PDB:1GW0_A mol:protein length:559     Laccase
>PDB:1GWS_A mol:protein length:545     High-Molecular-Weight Cytochrome C
>PDB:1GWI_A mol:protein length:411     Cytochrome P450 154C1
>PDB:1GXL_A mol:protein length:213     Chromosome Segregation Smc Protein
>PDB:1GXP_A mol:protein length:106     Phosphate Regulon Transcriptional Regulatory
>PDB:1GX3_A mol:protein length:284     Arylamine N-Acetyltransferase
>PDB:1GXC_A mol:protein length:149     Serine/Threonine-Protein Kinase Chk2
>PDB:1GXR_A mol:protein length:337     Transducin-Like Enhancer Protein 1
>PDB:1GXT_A mol:protein length:91     Hydrogenase Maturation Protein Hypf
>PDB:1GXZ_A mol:protein length:226     T-Cell Ecto-ADP-Ribosyltransferase 2
>PDB:1GXM_A mol:protein length:332     Pectate Lyase
>PDB:1GXS_A mol:protein length:270     Hydroxynitrile Lyase
>PDB:1GXE_A mol:protein length:139     Myosin Binding Protein C, Cardiac-Type
>PDB:1GXB_A mol:protein length:345     Anthranilate Phosphoribosyltransferase
>PDB:1GXF_A mol:protein length:492     Trypanothione Reductase (Oxidized Form)
>PDB:1GYF_A mol:protein length:62     Cytoplasmic Domain Binding Protein (Cd2Bp2)
>PDB:1GYM_  mol:protein length:298     Phosphatidylinositol-Specific Phospholipase
>PDB:1GYT_A mol:protein length:503     Cytosol Aminopeptidase
>PDB:1GY7_A mol:protein length:125     Nuclear Transport Factor 2
>PDB:1GYH_A mol:protein length:318     Arabinan Endo-1,5-Alpha-L-Arabinosidase A
>PDB:1GYJ_A mol:protein length:76     Hypothetical Protein Ydce
>PDB:1GY8_A mol:protein length:397     Udp-Galactose 4-Epimerase
>PDB:1GYO_A mol:protein length:109     Cytochrome C3, A Dimeric Class III C-Type Cy
>PDB:1GZU_A mol:protein-het length:290     Nicotinamide Mononucleotide Adenylyl Tra
>PDB:1GZ6_A mol:protein-het length:319     Estradiol 17 Beta-Dehydrogenase 4
>PDB:1GZ0_A mol:protein-het length:253     Hypothetical tRNA/Rrna Methyltransferase
>PDB:1GZ2_A mol:protein-het length:142     Ovocleidin
>PDB:1GZM_A mol:protein-het length:349     Rhodopsin
>PDB:2H1P_P mol:protein length:12     Pa1
>PDB:1H19_A mol:protein length:611     Leukotriene A-4 Hydrolase
>PDB:1H1J_S mol:protein length:51     Tho1 Protein
>PDB:1H1N_A mol:protein length:305     Endo Type Cellulase Engi
>PDB:1H15_C mol:protein length:14     DNA Polymerase
>PDB:1H1Y_A mol:protein length:228     D-Ribulose-5-Phosphate 3-Epimerase
>PDB:1H10_A mol:protein-het length:125     Rac-Alpha Serine/Threonine Kinase
>PDB:1H1C_A mol:protein-het length:335     Histidinol-Phosphate Aminotransferase
>PDB:1H1D_A mol:protein length:221     Catechol-O-Methyltransferase
>PDB:1H1O_A mol:protein length:183     Cytochrome C-552
>PDB:1H2E_A mol:protein length:207     Phosphatase
>PDB:1H2A_S mol:protein length:317     Hydrogenase
>PDB:1H2A_L mol:protein length:567     Hydrogenase
>PDB:1H2M_S mol:protein length:52     Hypoxia-Inducible Factor 1 Alpha
>PDB:1H2S_B mol:protein length:60     Sensory Rhodopsin II Transducer
>PDB:1H2T_Z mol:protein length:156     20 Kda Nuclear Cap Binding Protein
>PDB:1H21_A mol:protein length:247     Split-Soret Cytochrome C
>PDB:1H20_A mol:protein length:39     Metallocarboxypeptidase Inhibitor
>PDB:1H2B_A mol:protein length:359     Alcohol Dehydrogenase
>PDB:1H4X_A mol:protein-het length:117     Anti-Sigma F Factor Antagonist
>PDB:1H4L_D mol:protein length:147     Cyclin-Dependent Kinase 5 Activator
>PDB:1H4P_A mol:protein length:408     Glucan 1,3-Beta-Glucosidase I/II
>PDB:1H54_B mol:protein length:754     Mol_Id: 1; Molecule: Maltose Phosphorylase;
>PDB:1H59_B mol:protein length:54     Insulin-Like Growth Factor Binding Protein 5
>PDB:1H5B_A mol:protein length:113     Murine T Cell Receptor (Tcr) Valpha Domain
>PDB:1H5P_A mol:protein length:95     Nuclear Autoantigen Sp100-B
>PDB:1H5Q_A mol:protein length:265     Nadp-Dependent Mannitol Dehydrogenase
>PDB:1H5O_A mol:protein length:42     Myotoxin
>PDB:1H65_A mol:protein-het length:270     Chloroplast Outer Envelope Protein Oep34
>PDB:1H67_A mol:protein length:108     Calponin Alpha
>PDB:1H6A_A mol:protein length:433     Precursor Form Of Glucose-Fructose Oxidoredu
>PDB:1H6E_P mol:protein length:11     Cytotoxic T-Lymphocyte Protein 4
>PDB:1H6F_A mol:protein length:193     T-Box Transcription Factor Tbx3
>PDB:1H6H_A mol:protein length:143     Neutrophil Cytosol Factor 4
>PDB:1H6O_A mol:protein length:204     Telomeric Repeat Binding Factor 1
>PDB:1H6P_A mol:protein length:203     Telomeric Repeat Binding Factor 2
>PDB:1H6Q_A mol:protein length:168     Translationally Controlled Tumor Protein
>PDB:1H6U_A mol:protein length:308     Internalin H
>PDB:1H6V_A mol:protein length:499     Thioredoxin Reductase
>PDB:1H6W_A mol:protein length:312     Bacteriophage T4 Short Tail Fibre
>PDB:1H6Z_A mol:protein length:913     Pyruvate Phosphate Dikinase
>PDB:1H6X_A mol:protein length:170     Endo-1,4-Beta-Xylanase Y
>PDB:1H70_A mol:protein length:255     Ng, Ng-Dimethylarginine Dimethylaminohydrola
>PDB:1H75_A mol:protein length:81     Mol_Id: 1; Molecule: Glutaredoxin-Like Protei
>PDB:1H76_A mol:protein length:696     Serotransferrin
>PDB:1H7A_A mol:protein length:605     Anaerobic Ribonucleotide-Triphosphate Reduct
>PDB:1H7D_A mol:protein length:49     Aminolevulinic Acid Synthase 2, Erythroid
>PDB:1H7L_A mol:protein length:255     Spore Coat Polysaccharide Biosynthesis Prote
>PDB:1H7S_A mol:protein-het length:365     Pms1 Protein Homolog 2
>PDB:1H7Z_A mol:protein length:194     Adenovirus Fibre Protein
>PDB:1H7C_A mol:protein-het length:108     Tubulin-Specific Chaperone A
>PDB:1H88_C mol:protein length:159     Myb Proto-Oncogene Protein
>PDB:1H8B_B mol:protein length:53     Titin
>PDB:1H8C_A mol:protein length:82     Fas-Associated Factor 1
>PDB:1H8N_A mol:protein length:252     Mutant Al2 6E7S9G
>PDB:1H8P_A mol:protein length:109     Seminal Plasma Protein Pdc-109
>PDB:1H8U_A mol:protein length:117     Eosinophil Granule Major Basic Protein 1
>PDB:1H80_A mol:protein length:464     Iota-Carrageenase
>PDB:1H8M_A mol:protein length:140     Synaptobrevin Homolog 1
>PDB:1H95_A mol:protein length:79     Y-Box Binding Protein
>PDB:1H97_A mol:protein length:147     Globin-3
>PDB:1H99_A mol:protein length:224     Transcription Antiterminator Lict
>PDB:1H9J_A mol:protein length:145     Molybdenum-Binding-Protein
>PDB:1H9H_I mol:protein length:36     Trypsin Inhibitor II
>PDB:1HA0_A mol:protein length:494     Hemagglutinin Precursor
>PDB:1HA6_A mol:protein length:70     Macrophage Inflammatory Protein 3 Alpha
>PDB:1HA8_A mol:protein length:51     Pheromone
>PDB:1HAN_  mol:protein length:297     2,3-Dihydroxybiphenyl 1,2-Dioxygenase
>PDB:1HAQ_A mol:protein length:1213     Complement Factor H
>PDB:1HAV_A mol:protein length:217     Hepatitis A Virus 3C Proteinase
>PDB:2HAP_C mol:protein length:81     Heme Activator Protein
>PDB:1HBG_  mol:protein length:147     Hemoglobin (Carbon Monoxy) - Chain _
>PDB:1HBK_A mol:protein length:89     Acyl-Coa Binding Protein
>PDB:1HBW_A mol:protein length:57     Regulatory Protein Gal4
>PDB:1HBX_G mol:protein length:157     Ets-Domain Protein Elk-4
>PDB:4HB1_  mol:protein length:108     Dhp1
>PDB:1HC1_  mol:protein length:657     Arthropodan Hemocyanin (Deoxygenated) Subuni
>PDB:1HCD_  mol:protein length:118     Hisactophilin (NMR, 1 Structure) - Chain _
>PDB:1HCN_B mol:protein length:145     Human Chorionic Gonadotropin - Chain B
>PDB:1HCR_A mol:protein length:52     Hin Recombinase (DNA-Binding Domain) Complexe
>PDB:1HCW_  mol:protein-het length:25     Bba1
>PDB:1HD6_A mol:protein length:37     Pheromone Er-22
>PDB:1HDH_A mol:protein-het length:536     Arylsulfatase
>PDB:1HDL_A mol:protein length:55     Serine Proteinase Inhibitor Lekti
>PDB:1HDM_A mol:protein length:201     Class II Histocompatibility Antigen, M Alpha
>PDB:1HDM_B mol:protein length:193     Class II Histocompatibility Antigen, M Beta
>PDB:1HDO_A mol:protein length:206     Biliverdin Ix Beta Reductase
>PDB:1HDR_  mol:protein length:244     Dihydropteridine Reductase (Dhpr) (E.C. 1.6.
